subject_no,subject_name,subject_units
225,Conservation of Grass and Forage Crops,3
240,Advanced Poultry Production,3
250,Advanced Course in Meats,3
260,Artificial Breeding of Farm Animals,3
261,Livestock Endocrinology,3
262,Physiology of Reproduction,3
263,Mammalian Anatomy,3
264,Mammalian Physiology,3
264.1,Mammalian Physiology Laboratory,3
265,Advanced Animal Breeding,3
266,Poultry Breeding,3
267,Animal Reproductive Biotechnology,3
270,Research Techniques in Animal Nutrition,3
271,Feed Formulation and Quality Control,3
272,Advanced Animal Nutrition,3
280,Animal Parasitology,3
285,Environmental Physiology of Domestic Animals,3
290,Special Problems in Animal Science,3
291,Special Topics in Animal Science,3
299,Graduate Seminar in Animal Science,3
300,Master's Thesis,3
400,Doctoral Dissertation,3
101,Physics in Scientific Instruments,3
102,Physics of Electronic Devices,3
103,Electronic Circuits,3
104,Digital Computer Electronics,3
105,Microprocessor-based Instrumentation,3
106,Biophysical Instrumentation,3
130.1,Logic Design Laboratory,3
131,Microcomputer Architecture,3
132,Embedded Systems Programming for Instrumentation,3
140,Modeling and Simulation in Environmental Physics,3
150,Introduction to Materials Development,3
160,Microscopy and Spectroscopy for Materials Characterization,3
101,Introduction to Sustainable Agricultural Systems,3
120,Crop-Animal Systems,3
145,Participatory Methodologies in Agric Systems Research & Ext.,3
146,Agricultural Systems Analysis and Modelling,3
